,TS,Algo,Graph,NThread,Dur
85,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,30,32.255227000000005
86,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,30,33.009574
87,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,30,32.107634000000004
88,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,30,32.193364
89,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,30,32.196359
90,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,30,32.074971000000005
91,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,30,32.167795
92,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,30,32.153884000000005
93,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,30,34.156427
94,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,30,32.562489
95,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,30,32.39419
96,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,30,32.503908
97,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,30,33.923305
98,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,30,32.517266
99,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,30,32.504843
100,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,30,32.964960999999995
101,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,30,32.678074
102,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,30,31.7948
103,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,30,31.780651000000002
104,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,30,32.576257
105,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,30,32.598917
106,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,30,32.590671
107,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,30,32.438346
108,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,30,32.116411
109,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,30,32.481268
110,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,40,23.875207999999997
111,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,40,23.322045000000003
112,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,40,23.162573000000002
113,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,40,23.769445
114,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,40,22.789158
115,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,40,23.666701999999997
116,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,40,23.051927
117,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,40,23.707559
118,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,40,23.285579000000002
119,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,40,22.649484
120,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,40,23.34517
121,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,40,24.860864000000003
122,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,40,23.049754
123,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,40,22.510361
124,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,40,23.401213000000002
125,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,40,22.763908999999998
126,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,40,23.757764
127,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,40,23.810364
128,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,40,23.382388
129,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,40,22.733
130,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,40,23.009203
131,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,40,23.591242
132,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,40,23.338468
133,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,40,22.490275
134,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,40,22.698179
135,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,40,23.857463
136,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,40,23.587726999999997
137,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,40,23.367877
138,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,40,23.259785
139,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,40,23.550612
140,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,50,17.288649
141,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,50,17.311971
142,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,50,17.516932
143,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,50,16.973001
144,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,50,16.695364
145,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,50,17.460607999999997
146,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,50,17.428086999999998
147,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,50,17.390342999999998
148,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,50,17.180259
149,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,50,16.887179
150,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,50,17.193892
151,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,50,17.205361
152,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,50,17.287641
153,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,50,17.448456
154,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,50,17.655016
155,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,50,17.827607
156,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,50,17.448397
157,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,50,16.950046
158,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,50,17.05441
159,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,50,18.163149
160,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,50,17.176991
161,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,50,17.239067000000002
162,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,50,17.148166
163,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,50,17.375507
164,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,50,16.726038
165,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,50,17.175425
166,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,50,17.640916
167,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,50,17.896044
168,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,50,16.925161
169,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,50,16.964426
170,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,60,13.130914
171,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,60,13.196782
172,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,60,13.170553
173,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,60,13.598445000000002
174,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,60,13.67801
175,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,60,13.359229000000001
176,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,60,14.129560000000001
177,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,60,13.512391000000001
178,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,60,13.09684
