,TS,Algo,Graph,NThread,Dur
177,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,20,0.638465
178,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,20,0.708448
179,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,20,0.708812
180,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,30,0.397403
181,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,30,0.447484
182,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,30,0.398851
183,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,30,0.445468
184,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,30,0.399887
185,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,30,0.447611
186,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,30,0.400654
187,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,30,0.448559
188,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,30,0.447964
189,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,30,0.444951
190,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,30,0.402088
191,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,30,0.448022
192,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,30,0.448832
193,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,30,0.399937
194,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,30,0.447811
195,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,30,0.398489
196,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,30,0.447127
197,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,30,0.399168
198,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,30,0.400191
199,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,30,0.446981
200,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,30,0.447988
201,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,30,0.446602
202,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,30,0.447473
203,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,30,0.447743
204,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,30,0.447805
205,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,30,0.44772
206,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,30,0.399678
207,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,30,0.447836
208,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,30,0.398785
209,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,30,0.44583
210,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,40,0.324369
211,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,40,0.324444
212,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,40,0.32394
213,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,40,0.324155
214,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,40,0.324794
215,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,40,0.361614
216,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,40,0.326242
217,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,40,0.323499
218,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,40,0.325002
219,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,40,0.32483
220,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,40,0.326053
221,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,40,0.323849
222,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,40,0.325904
223,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,40,0.325142
224,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,40,0.324562
225,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,40,0.324671
226,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,40,0.325832
227,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,40,0.361827
228,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,40,0.362659
229,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,40,0.324575
230,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,40,0.323493
231,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,40,0.325313
232,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,40,0.398049
233,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,40,0.326477
234,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,40,0.324361
235,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,40,0.324087
236,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,40,0.32347
237,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,40,0.324877
238,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,40,0.32453
239,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,40,0.32533
240,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,50,0.31159
241,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,50,0.279515
242,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,50,0.278544
243,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,50,0.27905
244,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,50,0.27836
245,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,50,0.279699
246,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,50,0.278627
247,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,50,0.279674
248,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,50,0.279042
249,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,50,0.279585
250,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,50,0.27969
251,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,50,0.279453
252,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,50,0.279527
253,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,50,0.279892
254,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,50,0.279707
255,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,50,0.278812
256,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,50,0.279798
257,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,50,0.278599
258,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,50,0.279776
259,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,50,0.279043
260,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,50,0.278189
261,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,50,0.278377
262,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,50,0.278781
263,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,50,0.278855
264,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,50,0.280478
265,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,50,0.280031
266,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,50,0.309508
267,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,50,0.277483
268,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,50,0.279867
269,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,50,0.278859
270,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,60,0.241786
271,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,60,0.241086
272,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,60,0.242639
273,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,60,0.241505
274,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,60,0.241521
275,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,60,0.2417
276,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,60,0.240795
277,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,60,0.241706
278,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,60,0.241372
279,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,60,0.215636
280,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,60,0.24192
281,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,60,0.215189
282,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,60,0.241452
283,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,60,0.240927
284,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,60,0.24172
285,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,60,0.241247
286,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,60,0.215105
287,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,60,0.241599
288,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,60,0.215109
289,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,60,0.240458
290,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,60,0.240243
291,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,60,0.241012
292,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,60,0.241323
293,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,60,0.240721
294,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,60,0.216042
295,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,60,0.241467
296,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,60,0.241874
297,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,60,0.215739
298,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,60,0.215416
299,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,60,0.215909
300,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,70,0.209306
301,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,70,0.21034
302,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,70,0.209856
303,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,70,0.209448
304,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,70,0.235007
305,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,70,0.234313
306,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,70,0.234277
307,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,70,0.234609
308,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,70,0.209758
309,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,70,0.210609
310,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,70,0.23546
311,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,70,0.209789
312,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,70,0.234323
313,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,70,0.235441
314,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,70,0.234859
315,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,70,0.210043
316,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,70,0.233921
317,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,70,0.234834
318,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,70,0.235784
319,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,70,0.234714
320,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,70,0.211175
321,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,70,0.234798
322,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,70,0.210372
323,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,70,0.234111
324,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,70,0.210157
325,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,70,0.210176
326,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,70,0.23428
327,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,70,0.209428
328,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,70,0.208156
329,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,70,0.235051
330,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,80,0.206732
331,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,80,0.2083
332,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,80,0.208023
333,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,80,0.207876
334,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,80,0.231781
335,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,80,0.209164
336,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,80,0.208762
337,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,80,0.208024
338,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,80,0.232406
339,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,80,0.207934
340,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,80,0.232093
341,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,80,0.232147
342,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,80,0.208854
343,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,80,0.207785
344,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,80,0.208636
345,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,80,0.207785
346,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,80,0.207248
347,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,80,0.207548
348,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,80,0.232922
349,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,80,0.208499
350,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,80,0.208056
351,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,80,0.208163
352,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,80,0.208256
353,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,80,0.208507
354,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,80,0.232574
355,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,80,0.209239
356,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,80,0.208672
357,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,80,0.231935
358,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,80,0.232795
359,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,80,0.208556
360,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,90,0.198186
361,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,90,0.199207
362,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,90,0.198837
363,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,90,0.222612
364,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,90,0.19956
365,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,90,0.197875
366,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,90,0.221636
367,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,90,0.198705
368,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,90,0.221122
369,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,90,0.197941
370,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,90,0.198622
